business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
97748,FISTFUL OF TACOS,201 Harrison St Unit C-2,San Francisco,CA,94105,,,,14150459694,97748_20180821,08/21/2018 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
101082,Tony's Pizza North 200,1 Warriors Way Level 300 North,San Francisco,CA,94158,,,,,101082_20190812,08/12/2019 12:00:00 AM,,New Ownership - Followup,,,,,,,,,
85986,Pronto Pizza,798 Eddy St,San Francisco,CA,94109,,,,,85986_20161011,10/11/2016 12:00:00 AM,,New Ownership,85986_20161011_103114,High risk vermin infestation,High Risk,,,,,,
78070,Uno Dos Taco,595 Market St Suite 160,San Francisco,CA,94105,,,,,78070_20190711,07/11/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
95174,Ahipoki Bowl,1511 Sloat Blvd,San Francisco,CA,94132,,,,,95174_20180417,04/17/2018 12:00:00 AM,,Routine - Unscheduled,95174_20180417_103133,Foods not protected from contamination,Moderate Risk,,,,,,
74712,Kasa Indian Eatery,1356 Polk St,San Francisco,CA,94109,,,,,74712_20180820,08/20/2018 12:00:00 AM,,Routine - Unscheduled,74712_20180820_103129,Insufficient hot water or running water,Moderate Risk,,,,,,
3196,United Irish Cultural Center,2700 45th Ave,San Francisco,CA,94116,37.735943,-122.503086,POINT (-122.503086 37.735943),,3196_20170201,02/01/2017 12:00:00 AM,,Reinspection/Followup,,,,35,8,3,1,29491,35
86002,MISS TOMATO SANDWICH SHOP,577 Geary St,San Francisco,CA,94102,,,,,86002_20161122,11/22/2016 12:00:00 AM,,Routine - Unscheduled,86002_20161122_103133,Foods not protected from contamination,Moderate Risk,,,,,,
86310,Momentum Machines Company,"680 Folsom St.,  Suite 120",San Francisco,CA,94107,,,,,86310_20190828,08/28/2019 12:00:00 AM,,New Construction,,,,,,,,,
100752,WORLD O F NOODLE,3230 22ND ST 3234,San Francisco,CA,94110,,,,,100752_20190717,07/17/2019 12:00:00 AM,,New Ownership - Followup,,,,,,,,,
4323,DIVA'S,1081 Post St,San Francisco,CA,94109,,,,14155473482,4323_20180815,08/15/2018 12:00:00 AM,,Complaint,,,,,,,,,
92313,Cafe X,578 Market St,San Francisco,CA,94104,,,,,92313_20180122,01/22/2018 12:00:00 AM,,New Ownership,,,,,,,,,
81667,Crazy Pepper,2257 San Jose Ave,San Francisco,CA,94112,,,,14155738687,81667_20190821,08/21/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
85594,The Pearl,601 19th St,San Francisco,CA,94107,,,,14155267171,85594_20171013,10/13/2017 12:00:00 AM,,Non-inspection site visit,,,,,,,,,
87613,Tommy's Joynt,1101 Geary Blvd,San Francisco,CA,94109,,,,,87613_20190118,01/18/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
5959,ST. JOHN'S SNACK BAR,925 CHENERY St,San Francisco,CA,94131,37.735264,-122.437679,POINT (-122.437679 37.735264),14155586144,5959_20180403,04/03/2018 12:00:00 AM,,Routine - Unscheduled,,,,7,7,5,2,63,10
88475,E & O Kitchen and Bar,314 Sutter St,San Francisco,CA,94108,,,,14155690303,88475_20181130,11/30/2018 12:00:00 AM,,Complaint Reinspection/Followup,,,,,,,,,
87927,K-OZ Restaurant Brewery,121 7th St.,San Francisco,CA,94103,,,,,87927_20190315,03/15/2019 12:00:00 AM,,Complaint,,,,,,,,,
